wavelength_nm,cie_v_lambda,bpw34_relative_response
400.05,0.000397886,0.04195
400.27,0.000406183,0.04232
400.48,0.000414103,0.04269
400.69,0.000422023,0.04305
400.91,0.00043032,0.04342
401.12,0.000438432,0.04379
401.33,0.000446687,0.04415
401.55,0.000455335,0.04453
401.76,0.00046359,0.04489
401.97,0.000471845,0.04525
402.18,0.000481097,0.04561
402.4,0.000490965,0.04599
402.61,0.000500384,0.04635
402.82,0.000509803,0.04671
403.04,0.00052005,0.04709
403.25,0.000531462,0.04745
403.46,0.000542874,0.04781
403.67,0.000554286,0.04817
403.89,0.000566241,0.04855
404.1,0.000578997,0.04891
404.31,0.000593231,0.04927
404.53,0.000608143,0.04965
404.74,0.000622377,0.05001
404.95,0.000636611,0.05037
405.16,0.00065353,0.05073
405.38,0.000672133,0.05111
405.59,0.00068989,0.05147
405.8,0.000707648,0.05183
406.01,0.000725569,0.05219
406.23,0.000747776,0.05257
406.44,0.000768974,0.05293
406.65,0.000790171,0.05329
406.87,0.000812378,0.05367
407.08,0.000834753,0.05403
407.29,0.000859041,0.05439
407.5,0.00088333,0.05475
407.72,0.000908775,0.05513
407.93,0.000933064,0.05549
408.14,0.000959181,0.05585
408.35,0.000986212,0.05622
408.57,0.00101,0.05659
408.78,0.00104,0.05695
408.99,0.00107,0.05732
409.2,0.0011,0.05768
409.42,0.00113,0.05805
409.63,0.00116,0.05842
409.84,0.00119,0.05878
410.05,0.00122,0.05914
410.27,0.00125,0.05952
410.48,0.00128,0.05988
410.69,0.00131,0.06024
410.9,0.00135,0.0606
411.12,0.00138,0.06098
411.33,0.00142,0.06134
411.54,0.00145,0.0617
411.75,0.00149,0.06206
411.96,0.00152,0.06242
412.18,0.00156,0.0628
412.39,0.0016,0.06316
412.6,0.00164,0.06352
412.81,0.00168,0.06388
413.03,0.00173,0.06426
413.24,0.00177,0.06462
413.45,0.00182,0.06498
413.66,0.00186,0.06534
413.87,0.00191,0.06571
414.09,0.00196,0.06608
414.3,0.00201,0.06644
414.51,0.00206,0.06681
414.72,0.00211,0.06717
414.94,0.00217,0.06754
415.15,0.00222,0.06791
415.36,0.00228,0.06827
415.57,0.00234,0.06863
415.78,0.00239,0.06899
416,0.00245,0.06937
416.21,0.00252,0.06973
416.42,0.00258,0.07009
416.63,0.00265,0.07045
416.84,0.00271,0.07081
417.06,0.00279,0.07119
417.27,0.00286,0.07155
417.48,0.00293,0.07191
417.69,0.00301,0.07227
417.9,0.00308,0.07263
418.12,0.00317,0.07301
418.33,0.00325,0.07337
418.54,0.00334,0.07373
418.75,0.00342,0.07409
418.96,0.00351,0.07446
419.17,0.00361,0.07482
419.39,0.00371,0.07519
419.6,0.00381,0.07556
419.81,0.00391,0.07592
420.02,0.00401,0.07628
420.23,0.00413,0.07664
420.44,0.00424,0.077
420.66,0.00436,0.07738
420.87,0.00448,0.07774
421.08,0.0046,0.0781
421.29,0.00472,0.07846
421.5,0.00485,0.07882
421.71,0.00498,0.07918
421.93,0.00512,0.07956
422.14,0.00525,0.07992
422.35,0.00539,0.08028
422.56,0.00553,0.08064
422.77,0.00568,0.08101
422.98,0.00582,0.08137
423.2,0.00597,0.08174
423.41,0.00612,0.08211
423.62,0.00627,0.08247
423.83,0.00642,0.08283
424.04,0.00658,0.08319
424.25,0.00673,0.08355
424.46,0.00689,0.08391
424.68,0.00706,0.08429
424.89,0.00722,0.08465
425.1,0.00738,0.08501
425.31,0.00754,0.08537
425.52,0.00771,0.08573
425.73,0.00787,0.08609
425.94,0.00804,0.08646
426.16,0.00822,0.08683
426.37,0.00839,0.08719
426.58,0.00856,0.08756
426.79,0.00874,0.08792
427,0.00891,0.08828
427.21,0.00909,0.08864
427.42,0.00927,0.089
427.63,0.00945,0.08936
427.85,0.00964,0.08974
428.06,0.00982,0.0901
428.27,0.01001,0.09046
428.48,0.0102,0.09082
428.69,0.01039,0.09118
428.9,0.01057,0.09154
429.11,0.01077,0.09191
429.32,0.01096,0.09227
429.53,0.01116,0.09263
429.75,0.01137,0.09301
429.96,0.01156,0.09337
430.17,0.01177,0.09373
430.38,0.01197,0.09409
430.59,0.01217,0.09445
430.8,0.01238,0.09481
431.01,0.01258,0.09517
431.22,0.0128,0.09553
431.43,0.01301,0.09589
431.65,0.01323,0.09627
431.86,0.01344,0.09663
432.07,0.01366,0.09699
432.28,0.01388,0.09735
432.49,0.0141,0.09772
432.7,0.01432,0.09808
432.91,0.01454,0.09844
433.12,0.01476,0.0988
433.33,0.01499,0.09916
433.54,0.01522,0.09952
433.75,0.01544,0.09988
433.96,0.01567,0.10024
434.18,0.01592,0.10062
434.39,0.01615,0.10098
434.6,0.01639,0.10134
434.81,0.01663,0.1017
435.02,0.01686,0.10207
435.23,0.01711,0.10243
435.44,0.01735,0.10279
435.65,0.0176,0.10315
435.86,0.01784,0.10351
436.07,0.01809,0.10387
436.28,0.01835,0.10423
436.49,0.0186,0.10459
436.7,0.01885,0.10495
436.91,0.01911,0.10531
437.12,0.01936,0.10568
437.33,0.01962,0.10604
437.55,0.0199,0.10641
437.76,0.02016,0.10678
437.97,0.02042,0.10714
438.18,0.02068,0.1075
438.39,0.02095,0.10786
438.6,0.02121,0.10822
438.81,0.02148,0.10858
439.02,0.02174,0.10894
439.23,0.02201,0.1093
439.44,0.02228,0.10966
439.65,0.02255,0.11003
439.86,0.02282,0.11039
440.07,0.02309,0.11075
440.28,0.02336,0.11111
440.49,0.02363,0.11147
440.7,0.02391,0.11183
440.91,0.02418,0.11219
441.12,0.02445,0.11255
441.33,0.02473,0.11291
